Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
177,2359552.0,15.97,15.97,8608.0,2457600.0,5.24,5465376.0,17.16,8288.33,962864002.48,0.0,0.0,0.0,0.0,1376256.0,0.0,3072.0,0.0,0.0,0.0,16.92
178,786560.0,4.24,4.24,10464.0,786944.0,1.27,2104352.0,4.75,10491.17,1002596202.85,0.0,0.0,0.0,0.0,269824.0,0.0,16.0,0.0,0.0,0.0,1.56
179,1106048.0,1.89,1.87,30144.0,2496608.0,0.99,3086976.0,2.87,33581.41,1114032889.05,0.0,0.0,0.0,0.0,672640.0,2773120.0,0.0,0.0,0.0,0.0,7.13
180,38559744.0,11.06,4.69,402752.0,309263648.0,11.06,78291808.0,5.96,465568.7,1155968694.64,0.0,0.0,0.0,0.0,9947136.0,788480.0,0.0,0.0,0.0,0.0,13.82
181,9175168.0,16.64,16.64,28704.0,9191424.0,4.26,19014016.0,17.88,31178.33,1086201690.82,0.0,0.0,0.0,0.0,2424832.0,0.0,512.0,0.0,0.0,0.0,2.01
182,56625152.0,74.4,74.4,38816.0,56631296.0,19.08,114538272.0,71.13,42933.93,1106088363.71,0.0,0.0,0.0,0.0,15327232.0,0.0,256.0,0.0,0.0,0.0,10.7
183,12583040.0,36.92,36.92,17984.0,12632064.0,9.49,26143232.0,38.61,19189.24,1067017389.94,0.0,0.0,0.0,0.0,3538944.0,0.0,1536.0,0.0,0.0,0.0,6.27
184,16777344.0,32.63,30.83,27424.0,134479872.0,32.63,34640352.0,33.08,30629.57,1116889369.68,0.0,0.0,0.0,0.0,4939776.0,5218304.0,0.0,0.0,0.0,0.0,57.8
185,7225472.0,34.92,34.92,11712.0,7274752.0,9.02,15129696.0,34.84,11585.22,989175394.66,0.0,0.0,0.0,0.0,2592768.0,0.0,3072.0,0.0,0.0,0.0,13.94
186,1003776.0,6.87,6.87,8384.0,1389472.0,6.58,2720928.0,8.82,8191.22,977006467.35,0.0,0.0,0.0,0.0,1561600.0,0.0,5120.0,0.0,0.0,0.0,28.59
187,1048832.0,8.03,8.03,7744.0,1081344.0,2.22,2691584.0,8.99,7346.48,948667546.68,0.0,0.0,0.0,0.0,524288.0,0.0,1024.0,0.0,0.0,0.0,6.4
