Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
128,2,96,96,2,3,3,1,1,0,0,0.057913,0.058027,0.057913,NOT SUPPORT!,0.385593,0.628850,0.325063,0.128455,0,7,1,6.790400227125586e-05,0.0,0.0,0.0,40716288.0,2262016.0,0.0,2262016.0,0.0,0.0,70688.0,9437696.0,44362368.0,247734656.0,38.4,38.4,16.8,59.89,70688.0,0.84,46.61,0.0,88218624.0,36192256.0,124410880.0,13.182336027776271,2.804423785493146,0.5021940894696623,1832.1582799054513,532.9914996088586
128,2,97,97,2,3,3,1,1,0,0,0.058709,0.059164,0.058368,NOT SUPPORT!,0.386162,0.631808,0.324722,0.130503,2,7,1,6.950399609376582e-05,0.0,0.0,0.0,41587200.0,2310400.0,0.0,2310400.0,0.0,0.0,72200.0,9641472.0,45309952.0,255221568.0,38.6,38.6,16.98,59.96,72224.0,0.85,46.39,0.0,90105600.0,36966400.0,127072000.0,13.17973023206415,2.804505288374616,0.497888955842478,1828.2689793630118,531.8600667237853
128,2,128,128,2,3,3,1,1,0,0,0.119012,0.118784,0.118556,NOT SUPPORT!,0.394468,0.986681,0.561038,0.220388,2,7,1,0.0001176640016253,0.0,0.0,0.0,73156608.0,4064256.0,0.0,4064256.0,0.0,0.0,127008.0,20797696.0,86755712.0,443112832.0,37.98,37.98,18.5,62.14,127008.0,0.88,46.53,0.0,158505984.0,65028096.0,223534080.0,10.748021319284598,2.5765920749978974,0.5044631160670157,1899.7660874380456,552.6592254365224
128,2,256,256,2,3,3,1,1,0,0,0.435883,0.436452,0.435541,NOT SUPPORT!,1.523257,3.149369,2.182144,0.833764,2,7,1,0.0004557439961429,0.0,0.0,0.0,297289728.0,16516096.0,0.0,16516096.0,0.0,0.0,516128.0,120946304.0,431659680.0,1786883744.0,37.52,37.52,20.65,64.42,516128.0,0.91,46.46,0.0,644127744.0,264257536.0,908385280.0,7.510649353948013,2.1044015044444273,0.5083628316896256,1993.191984289296,579.8376681568861
128,2,384,384,2,3,3,1,1,0,0,0.977237,0.977806,0.977237,NOT SUPPORT!,NOT SUPPORT!,6.593649,4.897792,1.871872,0,7,1,0.0010285119967859,0.0,0.0,0.0,672417792.0,37356544.0,0.0,37356544.0,0.0,0.0,1167392.0,288600064.0,1081115744.0,4031140192.0,37.58,37.58,21.68,64.58,1167392.0,0.91,46.55,0.0,1456905216.0,597704704.0,2054609920.0,7.119228913268709,1.9004532413876307,0.5096845612259967,1997.652848406879,581.135374082001
128,2,512,512,2,3,3,1,1,0,0,1.753998,1.754340,1.754567,NOT SUPPORT!,NOT SUPPORT!,11.244430,8.700702,3.303083,0,7,1,0.0018446399996714,0.0,0.0,0.0,1198540800.0,66585600.0,0.0,66585600.0,0.0,0.0,2080800.0,523134336.0,2081264416.0,7159340416.0,37.1,37.1,21.95,64.17,2080800.0,0.91,46.52,0.0,2596838400.0,1065369600.0,3662208000.0,7.000511623844167,1.7596072713521087,0.511528686611345,1985.3239660054955,577.5487901106894
128,2,640,640,2,3,3,1,1,0,0,3.321401,3.321401,2.809401,NOT SUPPORT!,NOT SUPPORT!,18.762070,13.587455,5.188153,2,7,1,0.0028727679974284,0.0,0.0,0.0,1875658752.0,104203264.0,0.0,104203264.0,0.0,0.0,3256352.0,824800000.0,3485989344.0,11173955392.0,37.1,37.1,22.25,64.47,3256352.0,0.91,46.59,0.0,4063927296.0,1667252224.0,5731179520.0,6.948568768186227,1.6440611127697125,0.5129051726932113,1995.0025637748502,580.3643821890473
128,2,768,768,2,3,3,1,1,0,0,4.750109,4.750222,4.749995,NOT SUPPORT!,NOT SUPPORT!,26.247623,19.547249,7.497386,2,7,1,0.0041412800019182,0.0,0.0,0.0,2703771648.0,150209536.0,0.0,150209536.0,0.0,0.0,4694048.0,1193820544.0,5328069696.0,16058188384.0,36.85,36.85,23.02,64.43,4694048.0,0.91,46.55,0.0,5858171904.0,2403352576.0,8261524480.0,6.920239831289082,1.5505661433449838,0.5144742534115235,1994.9205260627978,580.340516672814
128,2,896,896,2,3,3,1,1,0,0,6.555761,6.556217,6.150599,NOT SUPPORT!,NOT SUPPORT!,34.857986,26.605453,10.167523,2,7,1,0.0056836480038493,0.0,0.0,0.0,3682879488.0,204604416.0,0.0,204604416.0,0.0,0.0,6393888.0,1629479296.0,7654185856.0,21843811840.0,36.73,36.73,24.1,63.97,6393888.0,0.9,46.36,0.0,7979572224.0,3273670656.0,11253242880.0,6.906036123087998,1.4702076865795928,0.5151684588032049,1979.933112039775,575.9805416842983
128,2,1024,1024,2,3,3,1,1,0,0,7.986745,7.267555,7.256633,NOT SUPPORT!,NOT SUPPORT!,47.333603,34.750465,13.392100,2,7,1,0.0075451840006324,0.0,0.0,0.0,4812982272.0,267387904.0,0.0,267387904.0,0.0,0.0,8355872.0,2132296064.0,10596742848.0,28480365824.0,36.21,36.21,25.14,63.02,8355872.0,0.89,45.82,0.0,10428128256.0,4278206464.0,14706334720.0,6.896947833975836,1.38781651408816,0.5163674796482839,1949.1021980070184,567.0115485111326
