Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
64,2,96,96,2,3,3,1,1,0,0,0.033906,0.034247,0.034133,NOT SUPPORT!,0.214471,0.410852,0.173625,0.066219,0,7,1,3.69919957307336e-05,0.0,0.0,0.0,20358144.0,1131008.0,0.0,1131008.0,0.0,0.0,35344.0,4718976.0,22449632.0,123859488.0,35.76,35.76,16.22,55.78,35360.0,0.78,46.65,0.0,64.0,1131520.0,44109312.0,18096128.0,62205440.0,13.181978463124203,2.7708890729255606,0.5022258771164951,1681.5918895751445,489.19036787640573
64,2,97,97,2,3,3,1,1,0,0,0.034133,0.034702,0.034020,NOT SUPPORT!,0.213902,0.414492,0.174649,0.066674,2,7,1,3.747200258889389e-05,0.0,0.0,0.0,20793600.0,1155200.0,0.0,1155200.0,0.0,0.0,36100.0,4817664.0,22941248.0,127605952.0,35.67,35.67,15.96,55.42,36128.0,0.78,46.39,0.0,64.0,1156096.0,45052800.0,18483200.0,63536000.0,13.188134332323715,2.769509313529935,0.49790780919059324,1695.5592338379874,493.25359529832355
64,2,128,128,2,3,3,1,1,0,0,0.052452,0.052452,0.052110,NOT SUPPORT!,0.217998,0.644210,0.291157,0.115940,2,7,1,5.987200225391538e-05,0.0,0.0,0.0,36578304.0,2032128.0,0.0,2032128.0,0.0,0.0,63504.0,8388864.0,40884704.0,221543552.0,37.03,37.03,17.76,60.58,63520.0,0.85,46.57,0.0,64.0,2032640.0,79252992.0,32514048.0,111767040.0,13.323262839879154,2.733712833043869,0.504492407885561,1866.7663647859865,543.0593061195597
64,2,256,256,2,3,3,1,1,0,0,0.222663,0.223460,0.222322,NOT SUPPORT!,0.783474,2.037305,1.099776,0.427918,2,7,1,0.0002292800022619,0.0,0.0,0.0,148644864.0,8258048.0,0.0,8258048.0,0.0,0.0,258064.0,54434688.0,209052736.0,893440352.0,37.51,37.51,20.5,64.36,258080.0,0.91,46.44,0.0,64.0,8258560.0,322063872.0,132128768.0,454192640.0,8.34380900649233,2.172622318609597,0.5083636965615809,1980.9518297247253,576.2768959199202
64,2,384,384,2,3,3,1,1,0,0,0.493568,0.493796,0.493113,NOT SUPPORT!,NOT SUPPORT!,4.263481,2.447474,0.941625,2,7,1,0.0005140159961356,0.0,0.0,0.0,336208896.0,18678272.0,0.0,18678272.0,0.0,0.0,583696.0,138287360.0,530888672.0,2015515392.0,37.63,37.63,21.4,64.66,583712.0,0.91,46.56,0.0,64.0,18678784.0,728452608.0,298852352.0,1027304960.0,7.4287697733184,1.935066642371303,0.5096983948014424,1998.5855843462734,581.4067154461886
64,2,512,512,2,3,3,1,1,0,0,0.881778,0.881664,0.881436,NOT SUPPORT!,NOT SUPPORT!,7.280299,4.341646,1.650802,2,7,1,0.0009225599993531,0.0,0.0,0.0,599270400.0,33292800.0,0.0,33292800.0,0.0,0.0,1040400.0,255549824.0,1032416800.0,3579904576.0,37.11,37.11,21.82,64.19,1040416.0,0.91,46.51,0.0,64.0,33293312.0,1298419200.0,532684800.0,1831104000.0,7.165350268447064,1.773609263235546,0.5114951980217252,1984.8074935873783,577.3985435890555
64,2,640,640,2,3,3,1,1,0,0,1.391047,1.391275,1.391047,NOT SUPPORT!,NOT SUPPORT!,12.176156,6.787755,2.583211,0,7,1,0.0014361920000037,0.0,0.0,0.0,937829376.0,52101632.0,0.0,52101632.0,0.0,0.0,1628176.0,406573696.0,1734622464.0,5586330912.0,37.08,37.08,22.12,64.43,1628192.0,0.91,46.59,0.0,64.0,52102144.0,2031963648.0,833626112.0,2865589760.0,7.048143517872834,1.6519962236578067,0.5129645567262092,1995.269267613674,580.4419687603415
64,2,768,768,2,3,3,1,1,0,0,1.989859,1.990997,1.989746,NOT SUPPORT!,NOT SUPPORT!,16.966883,9.774876,3.747840,2,7,1,0.0020730239987087,0.0,0.0,0.0,1351885824.0,75104768.0,0.0,75104768.0,0.0,0.0,2347024.0,590780416.0,2651655360.0,8029709024.0,36.81,36.81,22.88,64.37,2347040.0,0.91,46.55,0.0,64.0,75105280.0,2929085952.0,1201676288.0,4130762240.0,6.99204328398049,1.5578050987742238,0.514434860298619,1992.626348065955,579.6731194373685
64,2,896,896,2,3,3,1,1,0,0,3.284309,3.284765,3.283854,NOT SUPPORT!,NOT SUPPORT!,24.458471,13.308814,5.081202,2,7,1,0.0028458560035469,0.0,0.0,0.0,1841439744.0,102302208.0,0.0,102302208.0,0.0,0.0,3196944.0,809092096.0,3815144032.0,10922195200.0,36.69,36.69,24.01,63.91,3196960.0,0.9,46.36,0.0,64.0,102302720.0,3989786112.0,1636835328.0,5626621440.0,6.95424101634037,1.474812324988521,0.5151548142996016,1977.1279477905155,575.1644939026952
64,2,1024,1024,2,3,3,1,1,0,0,4.345287,4.346766,3.695047,NOT SUPPORT!,NOT SUPPORT!,30.650370,17.377962,6.699463,2,7,1,0.0037696000032306,0.0,0.0,0.0,2406491136.0,133693952.0,0.0,133693952.0,0.0,0.0,4177936.0,1060509696.0,5289489312.0,14239937632.0,36.24,36.24,25.12,63.07,4177952.0,0.89,45.81,0.0,64.0,133694464.0,5214064128.0,2139103232.0,7353167360.0,6.9336163429098905,1.390146935984583,0.516376373972029,1950.649234321475,567.4615954389747
