Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin
64,16,128,128,16,1,1,1,1,0,0,0.188757,0.188985,0.304242,NOT SUPPORT!,0.775964,0.430080,NOT SUPPORT!,NOT SUPPORT!,0
64,16,256,256,16,1,1,1,1,0,0,0.713500,0.714069,1.144832,NOT SUPPORT!,2.787783,1.836032,NOT SUPPORT!,NOT SUPPORT!,0
64,16,384,384,16,1,1,1,1,0,0,1.712924,1.712014,2.525753,NOT SUPPORT!,NOT SUPPORT!,4.298638,NOT SUPPORT!,NOT SUPPORT!,1
64,16,512,512,16,1,1,1,1,0,0,2.585031,2.585258,4.169386,NOT SUPPORT!,NOT SUPPORT!,6.297942,NOT SUPPORT!,NOT SUPPORT!,0
64,16,640,640,16,1,1,1,1,0,0,4.081209,4.079844,6.508203,NOT SUPPORT!,NOT SUPPORT!,10.982059,NOT SUPPORT!,NOT SUPPORT!,1
64,16,768,768,16,1,1,1,1,0,0,6.541539,5.675122,9.164118,NOT SUPPORT!,NOT SUPPORT!,13.574144,NOT SUPPORT!,NOT SUPPORT!,1
64,16,896,896,16,1,1,1,1,0,0,8.211456,7.922915,12.670178,NOT SUPPORT!,NOT SUPPORT!,20.222975,NOT SUPPORT!,NOT SUPPORT!,1
64,16,1024,1024,16,1,1,1,1,0,0,9.561998,9.747684,15.609743,NOT SUPPORT!,NOT SUPPORT!,23.950905,NOT SUPPORT!,NOT SUPPORT!,0
64,16,2048,2048,16,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,16,3072,3072,16,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,32,1,1,32,1,1,1,1,0,0,0.013540,0.013995,0.026624,NOT SUPPORT!,0.038343,0.037547,NOT SUPPORT!,NOT SUPPORT!,0
64,32,2,2,32,1,1,1,1,0,0,0.013084,0.014564,0.024235,NOT SUPPORT!,0.037774,0.037092,NOT SUPPORT!,NOT SUPPORT!,0
64,32,4,4,32,1,1,1,1,0,0,0.012971,0.013198,0.028103,NOT SUPPORT!,0.038002,0.039708,NOT SUPPORT!,NOT SUPPORT!,0
64,32,7,7,32,1,1,1,1,0,0,0.013653,0.013767,0.028786,NOT SUPPORT!,0.039253,0.042098,NOT SUPPORT!,NOT SUPPORT!,0
64,32,8,8,32,1,1,1,1,0,0,0.014791,0.014564,0.029013,NOT SUPPORT!,0.038457,0.040960,NOT SUPPORT!,NOT SUPPORT!,1
64,32,15,15,32,1,1,1,1,0,0,0.017977,0.018887,0.033792,NOT SUPPORT!,0.042553,0.046649,NOT SUPPORT!,NOT SUPPORT!,0
64,32,16,16,32,1,1,1,1,0,0,0.017522,0.017408,0.032427,NOT SUPPORT!,0.044146,0.046308,NOT SUPPORT!,NOT SUPPORT!,1
64,32,24,24,32,1,1,1,1,0,0,0.024235,0.024121,0.039708,NOT SUPPORT!,0.076459,0.057572,NOT SUPPORT!,NOT SUPPORT!,1
64,32,32,32,32,1,1,1,1,0,0,0.030379,0.033223,0.053248,NOT SUPPORT!,0.079644,0.074524,NOT SUPPORT!,NOT SUPPORT!,0
64,32,48,48,32,1,1,1,1,0,0,0.054272,0.058254,0.097052,NOT SUPPORT!,0.291271,0.146091,NOT SUPPORT!,NOT SUPPORT!,0
64,32,64,64,32,1,1,1,1,0,0,0.084423,0.084764,0.155648,NOT SUPPORT!,0.380359,0.187051,NOT SUPPORT!,NOT SUPPORT!,0
