,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
33,6.636800259284263e-05,0.0,0.0,0.0,63616.0,0.0,329088.0,0.0,0.0,0.0,0.0,1.18,1.18,1.17,1204480.0,2628672.0,10207072.0,1.63,2176.0,0.03,13.02,0.0,32.0,65536.0,456320.0,0.0,456320.0,0.37885228480340066,0.17359335816716578,0.04470625856269065,6.403403758520927,0.0
34,6.937600000023032e-05,0.0,0.0,0.0,85792.0,0.0,338688.0,0.0,0.0,0.0,0.0,1.28,1.28,1.07,1204480.0,2640224.0,10416640.0,1.45,2208.0,0.03,15.73,0.0,32.0,65536.0,510272.0,0.0,510272.0,0.42364505844845907,0.19326844994970124,0.048986237404767756,6.850032183934094,0.0
35,3.686399706036061e-05,0.0,0.0,0.0,109760.0,0.0,348608.0,0.0,0.0,0.0,0.0,3.9,3.9,1.99,1204480.0,2638688.0,10646304.0,2.46,2240.0,0.05,18.91,0.0,32.0,65536.0,568128.0,0.0,568128.0,0.4716790648246546,0.21530700105506978,0.05336387163094347,14.353040198131103,0.0
36,3.9839997445059845e-05,0.0,0.0,0.0,135520.0,0.0,358848.0,0.0,0.0,0.0,0.0,1.59,1.59,1.78,1204480.0,2664928.0,10833216.0,2.31,2272.0,0.05,21.58,0.0,32.0,65536.0,629888.0,0.0,629888.0,0.5229543039319873,0.2363621080944776,0.058144137438042406,14.7246222766045,0.0
37,2.863999595667332e-05,0.0,0.0,0.0,163072.0,0.0,369408.0,0.0,0.0,0.0,0.0,2.17,1.76,2.63,1204480.0,2642496.0,11045376.0,3.12,2304.0,0.07,23.97,0.0,32.0,65536.0,695552.0,0.0,695552.0,0.5774707757704569,0.2632178061953547,0.062972233810782,22.61813445780209,0.0
38,1.308799866231088e-05,0.0,0.0,0.0,448000.0,0.0,465408.0,0.0,0.0,0.0,0.0,4.7,2.41,5.88,1204480.0,2769472.0,9852416.0,7.04,2560.0,0.16,17.73,0.0,32.0,65536.0,1361408.0,0.0,1361408.0,1.13028692879915,0.4915767337600813,0.13818011744530478,96.87577423989751,0.0
39,8.831996382975549e-06,0.0,0.0,0.0,1361920.0,0.0,718848.0,0.0,0.0,0.0,0.0,7.52,3.0,9.98,1204480.0,3030912.0,6731904.0,13.27,3072.0,0.31,15.48,0.0,32.0,65536.0,3442688.0,0.0,3442688.0,2.8582359192348563,1.1358587778200093,0.5113988553609796,363.0269887721136,0.0
40,2.5312003013724315e-05,0.0,0.0,0.0,0.0,64.0,278528.0,8192.0,0.0,0.0,256.0,2.12,0.54,2.35,1048832.0,2605760.0,1050624.0,0.27,516.0,0.02,24.97,0.0,32.0,2048.0,294976.0,131072.0,426048.0,0.4062118623382963,0.1635023946948299,0.4055190058479532,15.675887840825341,4.822625551751584
41,7.491199647915459e-05,0.0,0.0,0.0,49280.0,0.0,269184.0,0.0,0.0,0.0,0.0,2.82,2.82,0.91,1048704.0,2329120.0,8392704.0,2.07,2176.0,0.02,4.95,0.0,32.0,65536.0,367744.0,0.0,367744.0,0.35066520200170875,0.15788967507041285,0.04381710590531967,4.571875066428074,0.0
42,6.732800197016202e-05,0.0,0.0,0.0,86464.0,0.0,291136.0,0.0,0.0,0.0,0.0,1.71,1.71,0.98,1048704.0,2342400.0,8928736.0,2.15,6464.0,0.08,7.16,0.0,32.0,65536.0,464064.0,0.0,464064.0,0.4425119004027829,0.19811475409836066,0.05197421001136107,6.41922033358266,0.0
43,2.540799866900952e-05,0.0,0.0,0.0,127232.0,0.0,280320.0,0.0,0.0,0.0,0.0,4.38,4.38,2.44,1048832.0,2310208.0,8396800.0,4.29,2304.0,0.08,10.12,0.0,32.0,65536.0,534784.0,0.0,534784.0,0.5098852819135953,0.2314873812228163,0.0636890243902439,19.60234720693095,0.0
44,2.5023999028898613e-05,0.0,0.0,0.0,171584.0,0.0,320448.0,0.0,0.0,0.0,0.0,2.6,2.6,2.42,1048704.0,2330144.0,9485248.0,4.98,6720.0,0.22,12.01,0.0,32.0,65536.0,663616.0,0.0,663616.0,0.63279628951544,0.28479613277119353,0.06996295721524624,24.6979134295158,0.0
45,2.137599729114239e-05,0.0,0.0,0.0,219520.0,0.0,327296.0,0.0,0.0,0.0,0.0,5.28,5.28,2.99,1048704.0,2366592.0,9488384.0,6.34,2432.0,0.1,13.94,0.0,32.0,65536.0,766336.0,0.0,766336.0,0.7307457585743927,0.32381415977067446,0.0807657025685301,33.388197370153435,0.0
46,1.7919997388630764e-05,0.0,0.0,0.0,271040.0,0.0,352320.0,0.0,0.0,0.0,0.0,2.92,2.75,3.43,1048704.0,2385088.0,10060192.0,6.43,6976.0,0.32,16.2,0.0,32.0,65536.0,894400.0,0.0,894400.0,0.8528621994385451,0.37499664582606596,0.08890486384355288,46.482981703142435,0.0
47,1.2959998305446924e-05,0.0,0.0,0.0,326144.0,0.0,308736.0,0.0,0.0,0.0,0.0,4.49,4.49,4.92,1048704.0,2352672.0,8404992.0,7.37,2560.0,0.17,18.62,0.0,32.0,65536.0,961024.0,0.0,961024.0,0.9163920419870621,0.4084819303328301,0.11433966861598441,69.06045238995893,0.0
48,8.927997516476395e-06,0.0,0.0,0.0,896000.0,0.0,390144.0,0.0,0.0,0.0,0.0,6.33,3.68,8.03,1048704.0,2506240.0,4259840.0,12.95,3072.0,0.31,15.98,0.0,32.0,65536.0,2182144.0,0.0,2182144.0,2.0808006835103137,0.8706843718079673,0.5122596153846154,227.62998808088793,0.0
