Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,48,256,256,48,3,3,1,1,0,0,19.471590,15.967233,21.920311,NOT SUPPORT!,12.118585,7.674311,7.153208,10.615353,6,6,1,0.0237910400034312,109.05366942544454,1232.9257775939843,10992.199753616638,37.34,69.77,69.77,15.94,82.05,54.71,1964047.0,16516096.0,80.0
64,48,384,384,48,3,3,1,1,0,0,42.545380,36.035130,50.684586,NOT SUPPORT!,NOT SUPPORT!,16.528158,16.173058,23.834850,6,6,1,0.0537599679975215,109.29465083770343,1234.1008489264486,11002.67614971925,37.38,69.88,69.88,16.15,82.12,54.76,4588821.0,37356544.0,80.0
64,48,512,512,48,3,3,1,1,0,0,74.784874,62.229050,90.237152,NOT SUPPORT!,NOT SUPPORT!,28.631836,28.925608,42.106197,5,6,1,0.0957870719990178,109.41290324508873,1234.5718804434548,11006.87565030499,37.4,69.8,69.8,16.1,82.13,54.76,8138832.0,66585600.0,80.0
64,48,640,640,48,3,3,1,1,0,0,117.117500,97.455559,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,46.900223,44.846764,NOT SUPPORT!,6,6,1,0.1498992320014115,109.50780770953176,1234.5960309006612,11007.090964685285,37.4,69.78,69.78,16.23,82.12,54.76,12846171.0,104203264.0,80.0
64,48,768,768,48,3,3,1,1,0,0,168.724716,140.266617,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,64.628288,64.670952,NOT SUPPORT!,5,6,1,0.2160303679977829,109.58205836797015,1234.8825695595622,11009.645611715152,37.41,69.77,69.77,16.25,82.14,54.77,18562388.0,150209536.0,80.0
64,64,32,32,64,3,3,1,1,0,0,0.372622,0.348615,0.479118,NOT SUPPORT!,0.165660,0.151780,0.170780,0.232334,5,6,1,0.0004695039996781,200.49636701588375,1154.198474073781,10351.472199027356,32.34,74.81,74.81,17.81,77.12,50.65,35592.0,230400.0,80.0
64,64,48,48,64,3,3,1,1,0,0,0.850261,0.840818,1.058475,NOT SUPPORT!,0.729429,0.411534,0.357945,0.497550,6,6,1,0.0010808639974248,112.22892890099142,1178.7505135109675,10571.668083333483,35.14,75.57,75.57,19.08,78.96,51.85,71925.0,541696.0,80.0
64,64,64,64,64,3,3,1,1,0,0,1.840469,1.631687,2.128100,NOT SUPPORT!,1.134933,1.098183,0.728519,1.010574,6,6,1,0.0019277119996746,110.0067779686173,1200.6557662092123,10768.126161741975,36.16,76.07,76.07,20.11,80.14,52.64,158722.0,984064.0,80.0
64,64,96,96,64,3,3,1,1,0,0,3.414472,3.044693,4.100551,NOT SUPPORT!,4.232306,1.795186,1.343374,1.953906,6,6,1,0.0044585599996596,109.18373606619164,1209.503997795637,10720.142396569552,48.91,78.27,78.27,20.4,83.31,54.97,405717.0,2262016.0,64.0
64,64,97,97,64,3,3,1,1,0,0,3.488996,3.071545,4.182926,NOT SUPPORT!,4.469759,1.849572,1.334955,1.957433,6,6,1,0.0045472960028799,109.20324990021584,1211.2678823880544,10735.776155561909,48.96,78.31,78.31,20.61,83.38,55.01,394858.0,2310400.0,64.0
64,64,128,128,64,3,3,1,1,0,0,6.109184,5.352448,7.437085,NOT SUPPORT!,4.580580,2.889956,2.339385,3.436771,6,6,1,0.0078592640019209,108.74103244907681,1216.2882058248242,10908.326281321786,37.12,76.19,76.19,22.29,81.2,53.35,771601.0,4064256.0,80.0
64,64,256,256,64,3,3,1,1,0,0,25.702511,21.568512,30.479588,NOT SUPPORT!,17.150408,10.212920,9.297692,13.774507,6,6,1,0.0322722239986797,109.18129987939963,1220.070016420649,10813.791714332347,49.79,78.1,78.1,22.53,83.95,55.4,3355400.0,16516096.0,64.0
64,64,384,384,64,3,3,1,1,0,0,56.148426,48.866417,70.313194,NOT SUPPORT!,NOT SUPPORT!,22.416950,21.222969,30.875990,6,6,1,0.071839423997353,109.21530997311469,1223.0414248760874,10968.8927790545,37.4,76.18,76.18,23.52,81.61,53.62,7631294.0,37356544.0,80.0
64,64,512,512,64,3,3,1,1,0,0,99.497757,88.243652,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,37.459286,37.686386,NOT SUPPORT!,5,6,1,0.1281670080007869,109.3272958667391,1221.9161049545487,10958.800305234374,37.42,76.14,76.14,23.94,81.59,53.61,13454602.0,66585600.0,80.0
64,64,640,640,64,3,3,1,1,0,0,155.700119,138.005386,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,62.643658,59.024387,NOT SUPPORT!,6,6,1,0.2005786239967978,109.42187963610762,1221.8952949438558,10958.61366987487,37.43,76.09,76.09,23.54,81.59,53.62,21800124.0,104203264.0,80.0
64,96,24,24,96,3,3,1,1,0,0,0.554667,0.570482,0.580380,NOT SUPPORT!,0.324380,0.282283,0.257365,0.208213,7,7,1,0.0006903359977392,487.6038434151187,315.8911612811251,10284.411103072991,30.46,53.16,53.16,12.22,71.08,44.37,139099.0,123904.0,68.0
