,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value
Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
ID,,,,,,,,,,,,,,,,,,,,,
48,72007808.0,29.5,20.34,182176.0,245633600.0,20.5,220850560.0,32.92,200242.39,1099169972.38,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.61
49,72111744.0,29.57,20.4,183008.0,245595616.0,20.56,214923200.0,32.86,199889.94,1092247029.88,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.67
50,19612800.0,51.75,21.81,46784.0,62379744.0,36.46,84849056.0,59.31,50655.65,1082755817.12,0.0,0.0,0.0,0.0,0.0,0.0,4817408.0,0.0,0.0,0.0,68.27
51,71991424.0,29.37,20.23,183040.0,245631936.0,20.5,220023200.0,32.84,201169.35,1099045847.09,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.48
52,72143744.0,29.61,20.42,182464.0,245617024.0,20.58,220131712.0,32.97,199707.8,1094505197.17,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.69
53,13247488.0,39.65,21.05,36032.0,41945888.0,27.94,61677184.0,52.24,35469.44,984387334.71,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,63.94
54,60705024.0,22.88,20.52,154368.0,196442880.0,18.09,179378848.0,28.5,167227.78,1083305981.67,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.44
55,60686592.0,22.88,20.49,154112.0,196463648.0,18.02,174556672.0,28.47,167397.54,1086207025.0,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.41
56,13262464.0,39.63,21.03,35296.0,41952640.0,27.93,61636800.0,52.11,35470.13,1004933409.72,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,63.94
57,60663296.0,23.03,20.63,153920.0,196464704.0,18.2,179389440.0,28.69,166222.89,1079930411.18,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.63
