Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
554,11305088.0,52.65,40.52,14816.0,22609920.0,24.22,40214176.0,69.82,15626.48,1054703123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47
555,18664832.0,58.75,45.75,22048.0,37164160.0,26.86,65713504.0,78.04,22904.04,1038826063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74
556,5080448.0,40.18,30.19,10016.0,10160640.0,18.74,18377792.0,53.41,9379.24,936425792.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84
557,16777344.0,57.09,44.27,20448.0,33559424.0,26.2,59221728.0,76.05,21243.0,1038879107.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43
558,3211392.0,32.61,24.29,8128.0,6422528.0,15.6,11722464.0,43.77,7369.87,906726177.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
559,553088.0,9.7,6.8,5280.0,1105920.0,6.18,2160928.0,14.24,4592.31,869756593.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82
560,12583040.0,53.86,41.34,15872.0,25162240.0,24.71,44750272.0,71.39,16999.28,1071023045.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71
561,255423232.0,84.41,84.41,149856.0,275347712.0,26.31,481922208.0,78.72,171140.98,1142036231.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63
562,15155328.0,55.85,43.22,18464.0,30301184.0,25.58,53622688.0,74.36,19691.11,1066459657.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13
563,8388736.0,48.33,37.1,12928.0,16774144.0,22.45,29818656.0,64.89,12625.98,976638419.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61
564,802220544.0,84.67,84.67,466048.0,822750336.0,25.03,1438178112.0,76.21,536312.28,1150766182.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09
565,1089664.0,15.86,11.63,5408.0,2179072.0,8.7,4057600.0,22.11,5274.26,975269833.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
566,417920.0,7.72,5.32,5024.0,835584.0,5.41,1660352.0,11.26,4437.46,883252978.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43
567,46336640.0,63.93,63.93,36736.0,66304128.0,26.65,116841888.0,79.36,40851.76,1112036129.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73
568,1413248.0,19.18,14.09,6272.0,2826240.0,9.95,5278944.0,28.32,5666.76,903501157.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61
569,53185536.0,66.8,66.8,40352.0,73039488.0,26.77,129129696.0,79.28,44882.11,1112264847.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79
570,229181824.0,83.73,83.73,135232.0,248748160.0,26.32,435286688.0,78.6,154791.8,1144638815.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64
571,4147328.0,36.94,27.76,8384.0,8294400.0,17.45,14998048.0,49.72,8331.11,993691687.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
572,91561472.0,74.62,74.62,61056.0,111269632.0,26.38,195679264.0,78.56,69264.07,1134435175.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64
573,8257664.0,47.97,36.74,12032.0,16517632.0,22.26,29380000.0,63.55,12541.52,1042346951.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53
574,319616.0,6.14,4.16,4864.0,638976.0,4.79,1295200.0,8.76,4341.63,892604775.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13
575,245888.0,4.89,3.21,4800.0,491520.0,4.28,1027552.0,6.86,4326.28,901307870.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87
576,2621568.0,29.21,21.77,7104.0,5242880.0,14.2,9575328.0,39.4,6739.85,948740407.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63
