input_size,output_size,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,Bandwidth,bw_ratio
"[64, 2, 97, 97]","[3, 3]",0.0001117759977649,0.0,0.0,0.0,11520.0,0.0,1254528.0,0.0,0.0,0.0,0.0,9.02,9.02,2.72,4947712.0,11026144.0,40133536.0,4.49,8576.0,0.06,9.75,0.0,38.0,262144.0,1277568.0,0.0,1277568.0,0.25821389765612873,0.11586716081342671,0.031832928949993344,10.64475328154913,0.0,41.224555990882685,2.6510968482882755
"[64, 2, 97, 97]","[4, 4]",7.452799807177762e-05,0.0,0.0,0.0,20480.0,0.0,1280000.0,0.0,0.0,0.0,0.0,4.43,4.03,4.01,6710272.0,9769152.0,40828960.0,5.79,8704.0,0.09,12.97,0.0,38.0,262144.0,1320960.0,0.0,1320960.0,0.19685640164810012,0.1352174682101374,0.032353505942840574,16.5070832437928,0.0,83.85342364075521,5.392503128022843
"[64, 2, 97, 97]","[5, 5]",8.5343997379205e-05,0.0,0.0,0.0,32000.0,0.0,1305728.0,0.0,0.0,0.0,0.0,3.99,3.99,3.44,6621184.0,10754368.0,41662944.0,4.91,8832.0,0.08,15.81,0.0,38.0,262144.0,1369728.0,0.0,1369728.0,0.20687055366532633,0.1273648065604599,0.03287640930991338,14.947256358462282,0.0,72.25415165970814,4.64656923856644
"[64, 2, 97, 97]","[6, 6]",4.396799832477519e-05,0.0,0.0,0.0,46080.0,0.0,1331712.0,0.0,0.0,0.0,0.0,13.22,13.22,6.59,7712512.0,9674368.0,42584224.0,8.56,8960.0,0.17,19.35,0.0,38.0,262144.0,1423872.0,0.0,1423872.0,0.18461844856772994,0.1471798467868909,0.03343660788558692,30.160211687773504,0.0,163.36510203479907,10.505794343073894
"[64, 2, 97, 97]","[7, 7]",4.230399635753424e-05,0.0,0.0,0.0,62720.0,0.0,1357952.0,0.0,0.0,0.0,0.0,8.07,5.94,7.04,6740480.0,9982368.0,43333824.0,9.6,9088.0,0.18,22.28,0.0,38.0,262144.0,1483392.0,0.0,1483392.0,0.22007216103304217,0.14860121365992518,0.03423173546834916,32.656878204320265,0.0,148.39168230559196,9.542873460166685
"[64, 2, 97, 97]","[8, 8]",3.0367998784693063e-05,0.0,0.0,0.0,81920.0,0.0,1384448.0,0.0,0.0,0.0,0.0,11.21,5.86,8.62,7325056.0,10043904.0,44182848.0,10.83,9216.0,0.23,25.31,0.0,38.0,262144.0,1548288.0,0.0,1548288.0,0.21136875950163383,0.15415201101085793,0.035042738756904036,47.48273261697656,0.0,224.64404261505604,14.44656222604862
"[64, 2, 97, 97]","[16, 16]",1.59680006632995e-05,0.0,0.0,0.0,327680.0,0.0,1605632.0,0.0,0.0,0.0,0.0,16.06,7.51,18.34,5075456.0,11582560.0,39408864.0,24.65,10240.0,0.53,29.32,0.0,38.0,262144.0,2260992.0,0.0,2260992.0,0.44547563805104406,0.19520658645411723,0.0573726763603234,131.87079178075962,0.0,296.02245446618434,19.03681379203758
"[64, 2, 97, 97]","[32, 32]",1.235200442023777e-05,0.0,0.0,0.0,1310720.0,0.0,2097152.0,0.0,0.0,0.0,0.0,27.87,7.68,25.92,6674176.0,11876256.0,26927552.0,35.66,12288.0,0.85,53.48,0.0,38.0,262144.0,4718592.0,0.0,4718592.0,0.7069924437114035,0.39731309261100467,0.17523286186579456,355.77474719810755,0.0,503.2228425673753,32.361597592757256
"[64, 4, 64, 64]","[1, 1]",2.57279997064793e-05,0.0,0.0,0.0,0.0,256.0,1114112.0,32768.0,0.0,0.0,1024.0,10.28,1.87,8.12,5891456.0,9285056.0,4202496.0,0.92,2064.0,0.06,24.97,0.0,26.0,8192.0,1179904.0,524288.0,1704192.0,0.2892649966324114,0.18354138090281846,0.4055190058479532,61.68969601936817,18.978593577837767,213.263605128696,13.714701294449904
"[64, 4, 64, 64]","[2, 2]",8.665600423312536e-05,0.0,0.0,0.0,10240.0,0.0,1048576.0,0.0,0.0,0.0,0.0,9.94,9.94,3.09,4341504.0,8445696.0,33570816.0,7.18,8704.0,0.08,7.92,0.0,38.0,262144.0,1069056.0,0.0,1069056.0,0.24624093401733593,0.12657997635718832,0.03184480234260615,11.489521068264656,0.0,46.65967140725582,3.0006219554505353
"[64, 4, 64, 64]","[3, 3]",7.798399606438683e-05,0.0,0.0,0.0,23040.0,0.0,1115136.0,0.0,0.0,0.0,0.0,5.39,5.39,3.26,4367360.0,8784224.0,35715296.0,7.82,25856.0,0.27,11.57,0.0,38.0,262144.0,1161216.0,0.0,1161216.0,0.26588511137162957,0.1321933502606491,0.03251312826862754,13.867802746499214,0.0,52.15712408626027,3.3541558897916572
"[64, 4, 64, 64]","[4, 4]",2.857600343432838e-05,0.0,0.0,0.0,40960.0,0.0,1048576.0,0.0,0.0,0.0,0.0,14.6,14.6,7.74,6842624.0,8836160.0,33587200.0,14.16,9216.0,0.25,16.32,0.0,38.0,262144.0,1130496.0,0.0,1130496.0,0.16521381271278388,0.12793973852895377,0.033658536585365856,36.844076105047726,0.0,223.0084488704304,14.341379348580736
"[64, 4, 64, 64]","[5, 5]",3.0560003452236746e-05,0.0,0.0,0.0,64000.0,0.0,1183744.0,0.0,0.0,0.0,0.0,10.25,8.67,7.88,6523776.0,8695264.0,37941088.0,16.79,26880.0,0.69,19.58,0.0,38.0,262144.0,1311744.0,0.0,1311744.0,0.20107128141738773,0.1508572942696162,0.03457317829156612,39.975676090016634,0.0,198.8134546526032,12.785431167369982
"[64, 4, 64, 64]","[6, 6]",2.431999614825071e-05,0.0,0.0,0.0,92160.0,0.0,1183744.0,0.0,0.0,0.0,0.0,17.61,17.61,10.37,4586880.0,8592960.0,37953664.0,22.4,9728.0,0.32,23.18,0.0,38.0,262144.0,1368064.0,0.0,1368064.0,0.29825589507464767,0.15920753733288645,0.03604563712214979,52.389353968314424,0.0,175.65236708968445,11.295972160108326
"[64, 4, 64, 64]","[7, 7]",2.022400396464654e-05,0.0,0.0,0.0,125440.0,0.0,1254400.0,0.0,0.0,0.0,0.0,11.82,9.74,11.03,5123968.0,9875488.0,40240640.0,22.59,27904.0,1.05,27.17,0.0,38.0,262144.0,1505280.0,0.0,1505280.0,0.2937723264470036,0.1524258851815728,0.03740695973026274,69.31867930642431,0.0,235.9605485812476,15.174311805868012
"[64, 4, 64, 64]","[8, 8]",1.5071999666857804e-05,0.0,0.0,0.0,163840.0,0.0,1048576.0,0.0,0.0,0.0,0.0,17.5,15.18,15.82,5182720.0,9067968.0,33619968.0,24.54,10240.0,0.57,30.85,0.0,38.0,262144.0,1376256.0,0.0,1376256.0,0.26554704865398865,0.15177115755150436,0.04093567251461988,85.04102372483767,0.0,320.2484236066478,20.59475392968796
"[64, 4, 64, 64]","[16, 16]",1.1839998364694257e-05,0.0,0.0,0.0,655360.0,0.0,1048576.0,0.0,0.0,0.0,0.0,22.83,10.27,20.54,5429888.0,9615424.0,17039360.0,35.83,12288.0,0.85,56.31,0.0,38.0,262144.0,2359296.0,0.0,2359296.0,0.4345017797788831,0.24536577898176928,0.13846153846153847,185.57989260809663,0.0,427.10962588585437,27.466856970151404
"[64, 4, 64, 64]","[32, 32]",1.2415998726203986e-05,0.0,0.0,0.0,2621440.0,0.0,1048576.0,0.0,0.0,0.0,0.0,22.28,7.05,23.45,5731968.0,11006112.0,9437184.0,46.34,32768.0,2.1,57.5,0.0,38.0,262144.0,6291456.0,0.0,6291456.0,1.0976083606886848,0.5716329254145333,0.6666666666666666,471.92135962721864,0.0,429.9542318820491,27.64978983164303
"[64, 4, 97, 97]","[1, 1]",1.4975999072340624e-05,0.0,0.0,0.0,0.0,256.0,3580160.0,401792.0,0.0,0.0,12736.0,39.6,8.98,34.18,12611968.0,21331040.0,9817984.0,14.6,71209.0,3.68,57.07,297.0,26.0,131072.0,4384000.0,6520832.0,10904832.0,0.8646415848819153,0.511218956037774,1.1106997118756763,678.1461567226161,405.51538615485777,784.3089767828261,50.43787632043898
"[64, 4, 97, 97]","[2, 2]",0.0002308800016436,0.0,0.0,0.0,10240.0,0.0,2458624.0,0.0,0.0,0.0,0.0,4.64,4.64,2.74,13430400.0,19502720.0,77334816.0,5.84,8704.0,0.03,7.53,0.0,38.0,262144.0,2479104.0,0.0,2479104.0,0.1845889921372409,0.12711580743609097,0.03205676470478704,10.000197087591854,0.0,54.17547911067613,3.4839536405579503
