Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,4,7,7,4,3,3,1,1,0,0,0.012288,0.030151,0.011947,NOT SUPPORT!,0.031175,0.066788,0.027193,0.022187,2,7,1,9.599998954142766e-06,95.25916561314791,133.33334785912982,1004.6667761185432,3.09,7.0,7.0,2.83,8.78,5.63,0.0
128,4,8,8,4,3,3,1,1,0,0,0.011947,0.030379,0.012402,NOT SUPPORT!,0.032199,0.066674,0.027876,0.022300,0,7,1,1.0111998616859024e-05,105.24151309408342,182.2785059451019,1373.468542296343,4.12,9.29,9.29,3.6,11.91,7.63,0.0
128,8,4,4,8,3,3,1,1,0,0,0.022187,0.040505,0.021959,NOT SUPPORT!,0.031630,0.065877,0.023893,0.022869,2,7,1,1.2384004493107413e-05,40.390977443609025,27.782935656353832,222.09811063382855,3.1,2.09,2.09,0.87,1.88,1.22,0.0
128,8,7,7,8,3,3,1,1,0,0,0.022414,0.040391,0.022300,NOT SUPPORT!,0.031175,0.066788,0.023780,0.023438,2,7,1,1.2672001743003176e-05,84.57178841309823,169.69694635556218,1356.5654699733334,3.1,9.55,9.55,3.93,11.56,7.53,0.0
128,8,8,8,8,3,3,1,1,0,0,0.022756,0.040391,0.022300,NOT SUPPORT!,0.031403,0.066560,0.023666,0.023552,2,7,1,1.3375999999958457e-05,93.5164410058027,231.50239234521658,1850.6411483311067,4.15,12.56,12.56,5.06,15.54,10.12,0.0
128,16,4,4,16,3,3,1,1,0,0,0.021276,0.040505,0.041756,NOT SUPPORT!,0.043122,0.105244,0.029468,0.029696,0,6,1,1.964799760095571e-05,38.711555959963604,32.52117660931103,277.1596429620449,3.11,2.66,2.66,0.83,2.25,1.49,0.0
128,16,7,7,16,3,3,1,1,0,0,0.021163,0.039708,0.042780,NOT SUPPORT!,0.043122,0.104562,0.028331,0.033564,0,6,1,1.9807997271214352e-05,82.86070426924276,201.6155366602172,1718.2554871138389,3.12,12.34,12.34,4.84,13.9,9.21,0.0
128,16,8,8,16,3,3,1,1,0,0,0.027079,0.045397,0.042667,NOT SUPPORT!,0.043463,0.104789,0.027876,0.033109,0,6,1,2.15680033227354e-05,91.84360757975534,266.63497375939045,2272.3794718789077,4.17,15.48,15.48,6.11,17.91,11.86,0.0
128,32,4,4,32,3,3,1,1,0,0,0.033223,0.056092,0.089429,NOT SUPPORT!,0.060075,0.159061,0.039595,0.044032,0,6,1,3.491199741017869e-05,36.208725406330196,35.197069522058904,310.37949140202284,3.12,3.05,3.05,1.64,2.35,1.52,0.0
128,32,7,7,32,3,3,1,1,0,0,0.033792,0.058368,0.093753,NOT SUPPORT!,0.060416,0.160085,0.037774,0.053020,0,6,1,3.411200163294089e-05,80.04538577912254,225.14070216810921,1985.3657586191098,3.12,15.46,15.46,7.95,15.14,9.83,0.0
128,32,8,8,32,3,3,1,1,0,0,0.044942,0.068267,0.097621,NOT SUPPORT!,0.061099,0.160199,0.039253,0.054044,6,6,1,3.891200373027112e-05,89.82598443763263,284.2104990701527,2506.2629176336304,4.18,19.49,19.49,8.69,19.85,12.89,0.0
128,48,4,4,48,3,3,1,1,0,0,0.041415,0.064967,0.095346,NOT SUPPORT!,0.086471,0.205596,0.058027,0.049721,0,7,1,4.752000098419758e-05,68.06663084363245,76.54141255614745,682.4080666745714,3.12,6.21,6.21,2.25,5.2,3.46,0.0
128,64,4,4,64,3,3,1,1,0,0,0.050631,0.072363,0.105244,NOT SUPPORT!,0.107065,0.263851,0.044146,0.054955,6,6,1,6.304000096532239e-05,63.99393249905195,76.41015111420637,685.2872991509648,3.12,6.5,6.5,2.71,5.11,3.35,0.0
128,96,4,4,96,3,3,1,1,0,0,0.058368,0.174194,0.100807,NOT SUPPORT!,0.181020,0.461141,0.110478,0.055637,7,7,1,9.0207996737044e-05,85.8275627970129,119.3274253875503,1076.3306526252613,3.12,10.25,10.25,3.83,8.12,5.35,0.0
128,96,7,7,96,3,3,1,1,0,0,0.196267,0.307883,0.194560,NOT SUPPORT!,0.219932,0.555008,0.131755,0.091705,7,7,1,0.0001986559999999,267.5944519684304,113.40206185572718,3692.010309280209,12.46,19.25,19.25,4.9,25.55,15.78,3434.0
128,128,4,4,128,3,3,1,1,0,0,0.072135,0.168619,0.112754,NOT SUPPORT!,0.235179,0.602453,0.165660,0.065650,7,7,1,0.0001178560029037,104.7385763133354,161.815906955396,1463.7805775660158,3.12,13.72,13.72,4.82,10.91,7.19,0.0
128,128,7,7,128,3,3,1,1,0,0,0.112868,0.171918,0.162930,NOT SUPPORT!,0.236885,0.608142,0.113550,0.094322,7,7,1,0.0002746239974185,257.2159741396727,108.87905019616373,3560.382228760512,12.49,19.03,19.03,5.79,24.56,15.02,8725.0
128,256,4,4,256,3,3,1,1,0,0,0.240981,0.325746,0.251221,NOT SUPPORT!,0.887467,2.397980,0.229945,0.128683,7,7,1,0.0002441919980648,154.77419725429377,311.85637778266465,2824.755886623917,3.7,26.8,26.8,8.53,21.97,14.38,0.0
128,768,4,4,768,3,3,1,1,0,0,1.591296,0.879275,0.901348,NOT SUPPORT!,5.767396,15.717150,2.492188,0.481849,7,7,1,0.00159142399582,204.44847036284418,106.98753345884434,3536.3024302648096,12.5,20.41,20.41,5.1,24.21,14.87,51208.0
