Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
41,427205888.0,74.55,74.55,286080.0,859216000.0,38.73,1014096512.0,84.12,324231.43,1133359290.85,0.0,0.0,1105920.0,52076544.0,0.0,26038272.0,0.0,0.0,0.0,0.0,23.28
42,133190400.0,66.68,66.68,97728.0,291809664.0,37.53,341963296.0,80.69,112799.2,1154215820.48,0.0,0.0,1105920.0,17685504.0,0.0,8842752.0,0.0,0.0,0.0,0.0,22.8
43,586107648.0,76.2,76.2,380064.0,1167224320.0,38.95,1375077920.0,85.11,435313.76,1145369620.01,0.0,0.0,1105920.0,70742016.0,0.0,35371008.0,0.0,0.0,0.0,0.0,23.54
44,86105344.0,64.02,64.02,68288.0,201100800.0,38.43,237807392.0,81.15,75934.33,1111971844.74,0.0,0.0,1105920.0,12188672.0,0.0,6094336.0,0.0,0.0,0.0,0.0,23.39
45,398683904.0,74.01,74.01,264096.0,804465024.0,38.38,946251648.0,83.87,304758.63,1153969123.46,0.0,0.0,1105920.0,48754688.0,0.0,24377344.0,0.0,0.0,0.0,0.0,23.19
46,23929472.0,57.08,41.34,32928.0,80727584.0,36.34,90793760.0,76.3,32564.13,988949514.99,0.0,0.0,1105920.0,4892192.0,0.0,2446096.0,0.0,0.0,0.0,0.0,22.13
47,1601792.0,17.58,11.41,8896.0,6606336.0,12.08,6716096.0,28.76,7840.57,881359495.74,0.0,0.0,250240.0,400384.0,0.0,200192.0,0.0,0.0,0.0,0.0,20.58
48,12950272.0,51.52,31.07,25568.0,52845184.0,31.09,58837216.0,66.39,23329.13,912434669.49,0.0,0.0,1105920.0,3203072.0,0.0,1601536.0,0.0,0.0,0.0,0.0,22.01
49,1280256.0,14.15,9.04,8640.0,5280000.0,10.65,5422912.0,23.47,7964.22,921784979.42,0.0,0.0,200000.0,320000.0,0.0,160000.0,0.0,0.0,0.0,0.0,16.41
50,409856.0,7.6,3.68,6656.0,1689600.0,6.78,2092640.0,12.85,6274.48,942680511.04,0.0,0.0,64000.0,102400.0,0.0,51200.0,0.0,0.0,0.0,0.0,6.72
