N,cin,cout,time,ai,tc_perf,perf
1700,768,3072,0.0005429440006442,171.11477869467367,0.0,14022.671549168228
1700,3072,768,0.0005415680035454,269.712260628536,0.0,14071.993013284633
1024,12544,1024,0.0017735039980696,167.41665887935903,0.0,13848.599665821637
25216,384,1152,0.0014544959964658,163.69940530907044,0.0,14303.509692401545
25216,384,1536,0.0019343359971123,169.51327661843618,0.0,14340.423183332467
25216,1536,384,0.0019335359961395,138.24295037161522,0.0,14332.364641602759
1024,12544,1024,0.0017713599987096,173.24525407994403,0.0,13865.361582564732
1024,12544,1024,0.0017729919983925,172.14642432506727,0.0,13852.598825752204
1024,12544,1024,0.0017723840012794,168.50480253343454,0.0,13857.350809571122
1024,12544,1024,0.0017739200038617,171.05505459297493,0.0,13845.352000954612
352,12544,1024,0.000667008000647,123.37937055138883,0.0,13841.728939318422
600,256,32768,0.0007256320003243,51.97149924609002,0.0,13861.83870819452
1024,12544,1024,0.0017725440003241,169.90286378251514,0.0,13856.099972981905
1024,12544,1024,0.001772192001921,172.3144449574125,0.0,13858.852115559232
1601,1024,4096,0.0009442559967803,192.49083374058543,0.0,13774.175330205699
1601,4096,1024,0.0009409600041843,324.58823074244594,0.0,13817.364028488464
1750,4096,1024,0.001006560003222,323.5167849401215,0.0,13946.111122352993
600,25088,1024,0.0022135680025866,146.10729932195198,0.0,13838.438296431596
600,25088,1024,0.0022152960016049,142.87691501032256,0.0,13827.643888924105
589824,128,384,0.0038442560025526,48.99951469659055,0.0,14101.802133885918
589824,128,128,0.0012985599958204,33.142424861240414,0.0,13915.65469301524
589824,128,512,0.0051202239967733,52.08742804937292,0.0,14116.814038907423
589824,512,128,0.0050110400016218,51.5402538455302,0.0,14382.306362885702
147456,512,256,0.002515648003215,87.57392952652945,0.0,14324.403177212012
147456,256,768,0.0037639360031981,99.39813296809717,0.0,14374.704751629213
147456,256,256,0.0012741439977478,68.0165948240981,0.0,14154.723706173925
147456,256,1024,0.0050185279996893,105.25793122641018,0.0,14374.857528834404
147456,1024,256,0.0049977599961627,102.50804729511951,0.0,14413.488503911527
36864,1024,512,0.0025659519961463,175.92667076199265,0.0,14036.73107645558
36864,512,1536,0.0037331840038417,203.5402385326949,0.0,14478.990138009824
36864,512,512,0.0012926079980714,141.63381390358296,0.0,13938.934427051843
36864,512,2048,0.005005407997738,213.75557662812085,0.0,14398.489100702558
36864,2048,512,0.0051112640016093,179.51585854990054,0.0,14089.974241660184
9216,1024,3072,0.0037214400006467,373.0674064256962,0.0,14517.597268291702
9216,1024,4096,0.0049950720009458,275.9508501039597,0.0,14421.244826172755
8448,256,2048,0.0005976959961336,148.32814742719017,0.0,13829.962614309228
2050,768,2304,0.0005001599996761,261.97751843631414,0.0,13953.66471914156
2050,3072,768,0.0006723520003215,288.35711965988605,0.0,13853.582108961078
2050,768,2304,0.0005001279996761,268.79506345154357,0.0,13954.55752512583
2050,3072,768,0.0006724799980644,288.5850329081011,0.0,13850.94526140259
32768,192,768,0.0006531199993524,91.08399636116847,0.0,13815.895255002411
9800,384,1152,0.0005811200003235,209.1280152063278,0.0,13993.096238803597
2450,768,2304,0.0005883520019345,165.7033921848506,0.0,14018.794552792193
2050,3072,768,0.0006724480035405,288.44547317127194,0.0,13851.604278005912
