N,cin,cout,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
1024,1024,4,1.6320001073722857e-05,0.0,0.0,0.0,33554432.0,1048576.0,786432.0,0.0,0.0,0.0,0.0,4210944.0,9992416.0,4980704.0,68943872.0,0.0,68943872.0,16.372545443492005,6.899619871710706,13.842194195840587,3934.3737837360873,0.0
1024,12544,1024,0.0017713280012913,0.0,0.0,0.0,13180600320.0,10485760.0,0.0,0.0,0.0,0.0,0.0,154557440.0,2417666176.0,2949753856.0,26371686400.0,0.0,26371686400.0,170.6270911319442,10.90791055514192,8.940300678430573,13865.612047624909,0.0
1024,1024,1024,0.0001717439996776,0.0,0.0,0.0,1077936128.0,4194304.0,0.0,0.0,0.0,0.0,0.0,12583168.0,243064288.0,195268000.0,2160066560.0,0.0,2160066560.0,171.66317417044738,8.886811706374571,11.062061167216338,11713.473272873718,0.0
1024,1024,81,2.902399966481974e-05,0.0,0.0,0.0,100663296.0,1572864.0,1179648.0,0.0,0.0,0.0,0.0,4526336.0,32327584.0,24774944.0,204079104.0,0.0,204079104.0,45.087042588088906,6.312847381357048,8.23731847789444,6548.493617607008,0.0
1024,1024,4,1.6128002822448505e-05,0.0,0.0,0.0,33554432.0,1048576.0,786432.0,0.0,0.0,0.0,0.0,4210944.0,10011264.0,4980736.0,68943872.0,0.0,68943872.0,16.372545443492005,6.886630099855522,13.842105263157896,3981.2111320831223,0.0
1024,12544,1024,0.0017701119961427,0.0,0.0,0.0,13180600320.0,10485760.0,0.0,0.0,0.0,0.0,0.0,156807168.0,2445505248.0,2957097088.0,26371686400.0,0.0,26371686400.0,168.17908732335502,10.783737398056077,8.918099614320138,13875.137239067679,0.0
1024,1024,1024,0.0001716159996777,0.0,0.0,0.0,1077936128.0,4194304.0,0.0,0.0,0.0,0.0,0.0,12586240.0,243042720.0,195384128.0,2160066560.0,0.0,2160066560.0,171.62127529746772,8.8876003362701,11.055486349433666,11722.209781011492,0.0
1024,1024,81,2.9152001354440267e-05,0.0,0.0,0.0,100663296.0,1572864.0,1179648.0,0.0,0.0,0.0,0.0,4526336.0,32306208.0,24767392.0,204079104.0,0.0,204079104.0,45.087042588088906,6.317024393577854,8.239830176709765,6519.740248761706,0.0
1024,1024,4,1.6351999281539924e-05,0.0,0.0,0.0,33554432.0,1048576.0,786432.0,0.0,0.0,0.0,0.0,4210944.0,9993312.0,4980736.0,68943872.0,0.0,68943872.0,16.372545443492005,6.899001252037363,13.842105263157896,3926.674852994075,0.0
1024,12544,1024,0.0017703680032142,0.0,0.0,0.0,13180600320.0,10485760.0,0.0,0.0,0.0,0.0,0.0,156189184.0,2441848448.0,2907725056.0,26371686400.0,0.0,26371686400.0,168.8445110258083,10.79988662752587,9.069525451033567,13873.130801284808,0.0
1024,1024,1024,0.0001714240003235,0.0,0.0,0.0,1077936128.0,4194304.0,0.0,0.0,0.0,0.0,0.0,12583168.0,243161440.0,195220448.0,2160066560.0,0.0,2160066560.0,171.66317417044738,8.883261096002721,11.064755675593982,11735.338961893422,0.0
1024,1024,81,2.918399899736436e-05,0.0,0.0,0.0,100663296.0,1572864.0,1179648.0,0.0,0.0,0.0,0.0,4526336.0,32310656.0,24769056.0,204079104.0,0.0,204079104.0,45.087042588088906,6.316154769497716,8.23927661998907,6512.591937097614,0.0
1024,1024,4,1.6416003908491085e-05,0.0,0.0,0.0,33554432.0,1048576.0,786432.0,0.0,0.0,0.0,0.0,4210944.0,10000672.0,4980768.0,68943872.0,0.0,68943872.0,16.372545443492005,6.8939239283120175,13.842016331617936,3911.3650759907696,0.0
