N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
1,1024,16,12,256,1,1,1,1,0,0,0,1,397,9.811199935738612e-05,54.203361807660514,0.0,1026.504899091307
1,256,16,12,256,3,3,1,1,1,1,6,2,397,8.329600040201802e-05,21.185841041388016,0.0,1728.1721007640665
2,96,32,24,48,1,1,1,1,0,0,0,1,392,1.651200000000447e-05,30.014598540145986,0.0,1147.5348837206195
2,48,64,48,48,3,3,2,2,1,1,0,1,392,4.5504003856271e-05,66.12844767499752,0.0,1868.1517404162407
2,256,1,1,1,1,1,1,1,0,0,0,1,390,2.412800225294388e-05,19.980564024390244,0.0,21.72952383308199
1,256,8,8,256,3,3,1,1,1,1,6,2,388,7.843199539197855e-05,11.090119518850159,0.0,941.9045841023628
1,256,8,6,256,3,3,1,1,1,1,6,2,384,7.820800060271819e-05,11.117463497322495,0.0,944.6022840460188
1,36,32,32,36,3,3,1,1,1,1,6,2,384,2.2719994841064864e-05,56.514066496163686,0.0,995.9213529002491
1,18,64,64,18,3,3,1,1,1,1,6,2,384,1.897599708585429e-05,69.32346314773093,0.0,1452.8703748880675
2,2048,1,1,512,1,1,1,1,0,0,0,1,370,0.0002177599974333,15.853648211423906,0.0,308.18281039223376
2,3,769,769,32,3,3,2,2,1,1,1,6,365,0.0002167360070489,15.897103103064708,0.0,2937.2156139075228
2,256,12,12,256,3,3,1,1,1,1,6,2,360,8.153599995588704e-05,41.22283719029754,0.0,3484.3328119322045
2,512,16,12,1024,1,1,1,1,0,0,0,1,360,0.0001543679996784,137.42416968533146,0.0,2610.94527907131
2,96,48,36,48,1,1,1,1,0,0,0,1,352,1.747200422427753e-05,31.166089641620662,0.0,2440.087322137933
2,48,96,72,48,3,3,2,2,1,1,0,1,352,4.959999871204189e-05,69.31477873643195,0.0,3856.2271969084495
2,104,8,6,104,3,3,1,1,1,1,7,4,350,5.043199645105952e-05,33.49070421624418,0.0,2628.9354641881246
