N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
2,512,32,32,256,1,1,1,1,0,0,1,1,282,7.926400419891646e-05,113.35691335691335,0.0,6779.8139323290225
2,48,128,128,48,3,3,2,2,1,1,1,1,280,6.92160041964336e-05,70.87859444099814,0.0,6550.191003706633
15,256,14,14,256,3,3,1,1,1,1,7,4,274,0.0001612480068196,36.99060626754685,0.0,7739.6178508812645
2,32,128,128,64,3,3,2,2,1,1,1,1,273,5.116799611774826e-05,70.51323209117761,0.0,5912.175558015827
2,512,16,16,1024,1,1,1,1,0,0,1,2,272,8.249599934279758e-05,168.75954658734625,0.0,6514.1971038734755
4,512,64,64,21,1,1,1,1,0,0,0,1,260,8.31039961302778e-05,15.97655093130108,0.0,6464.369958309057
2,512,32,24,1024,1,1,2,2,0,0,0,1,257,6.150400129086574e-05,95.58328021127402,0.0,6553.17363977518
2,256,64,48,512,1,1,2,2,0,0,1,1,257,5.696000161679607e-05,109.27305505477743,0.0,7082.858225921044
96,144,8,8,144,1,1,1,1,0,0,1,2,255,4.169599902596696e-05,77.82364082777973,0.0,6811.21121053206
96,72,16,16,72,1,1,1,1,0,0,1,1,255,4.681599999981835e-05,47.79963093681137,0.0,7294.687628189616
4,512,16,16,512,3,3,1,1,1,1,6,2,255,0.0002892799970869,77.21772714106402,0.0,7785.118662468299
2,256,64,64,128,1,1,1,1,0,0,1,2,254,8.598400420403302e-05,62.85892066531052,0.0,6256.041376295537
2,512,32,32,1024,1,1,2,2,0,0,1,2,248,7.974399612450925e-05,127.2280978211461,0.0,6739.005142919242
2,256,64,64,512,1,1,2,2,0,0,1,2,248,7.398400061411987e-05,113.31453069808828,0.0,7270.754264907079
2,3,256,192,64,7,7,2,2,3,3,0,1,247,6.393600323212613e-05,386.09663129700215,0.0,7503.18280387836
2,96,64,64,192,3,3,2,2,1,1,0,1,245,9.73119974208933e-05,177.42811330839123,0.0,6986.501993782205
32,256,8,6,256,3,3,1,1,1,1,7,4,240,9.865598983190798e-05,28.577737467387774,0.0,6622.62020900312
4,256,64,64,21,1,1,1,1,0,0,0,1,240,4.563199935286436e-05,15.978693452041243,0.0,5890.1543612317855
4,512,64,64,64,1,1,1,1,0,0,1,1,240,0.000143103996457,27.391200811610467,0.0,7510.554747665302
2,32,160,160,32,3,3,2,2,1,1,0,1,240,4.0191997083259154e-05,35.739310531715155,0.0,5880.255203801268
